Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
HTTP Request,10,139,93,310,65.94,0.000%,2.34522,66.48,0.29,29027.7
TOTAL,10,139,93,310,65.94,0.000%,2.34522,66.48,0.29,29027.7
